,name,tag
81,../Data\Words/downloaded_videos\BABY\BABY.mp4,BABY
82,../Data\Words/downloaded_videos\babysitter-BABY-KEEP-version\babysitter-[BABY-KEEP-version].mp4,babysitter-BABY-KEEP-version
83,../Data\Words/downloaded_videos\babysitter-BABY-SIT-version\babysitter-[BABY-SIT-version].mp4,babysitter-BABY-SIT-version
84,../Data\Words/downloaded_videos\BACK-fingerspelled-version\#BACK-[fingerspelled-version].mp4,BACK-fingerspelled-version
85,"../Data\Words/downloaded_videos\BACKPACK YOU HAVE\BACKPACK, YOU HAVE？.mp4",BACKPACK YOU HAVE
86,../Data\Words/downloaded_videos\BACKPACK-A-hand version\BACKPACK-[A-hand version].mp4,BACKPACK-A-hand version
87,../Data\Words/downloaded_videos\BACKPACK-C-hand version\BACKPACK-[C-hand version].mp4,BACKPACK-C-hand version
88,../Data\Words/downloaded_videos\BACKPACK-modified-C-hand version\BACKPACK-[modified-C-hand version].mp4,BACKPACK-modified-C-hand version
89,../Data\Words/downloaded_videos\BACKPACK-small-C-hand version\BACKPACK-[small-C-hand version].mp4,BACKPACK-small-C-hand version
90,../Data\Words/downloaded_videos\bad\bad.mp4,bad
91,../Data\Words/downloaded_videos\BALD bent-middle-finger-version-circles-head\BALD [bent-middle-finger-version-circles-head].mp4,BALD bent-middle-finger-version-circles-head
92,../Data\Words/downloaded_videos\BALD bent-middle-finger-version-S-hand\BALD [bent-middle-finger-version-S-hand].mp4,BALD bent-middle-finger-version-S-hand
93,../Data\Words/downloaded_videos\BALD S-hand-version\BALD [S-hand-version].mp4,BALD S-hand-version
94,../Data\Words/downloaded_videos\BALD-cueball-version\BALD-[cueball-version].mp4,BALD-cueball-version
95,../Data\Words/downloaded_videos\BALL\BALL.mp4,BALL
96,../Data\Words/downloaded_videos\BALL round object\BALL (round object).mp4,BALL round object
97,"../Data\Words/downloaded_videos\BALL YOU CAN THROW HOW FAR\BALL, YOU CAN THROW, HOW FAR？.mp4",BALL YOU CAN THROW HOW FAR
98,../Data\Words/downloaded_videos\BALLSOFTBALL\BALL⧸SOFTBALL.mp4,BALLSOFTBALL
99,../Data\Words/downloaded_videos\BANANA\BANANA.mp4,BANANA
100,../Data\Words/downloaded_videos\BANANA PIE YOU LIKE\BANANA PIE YOU LIKE？.mp4,BANANA PIE YOU LIKE
101,../Data\Words/downloaded_videos\bankrupt  bankruptcy  BROKE-financially\bankrupt ⧸ bankruptcy ⧸ BROKE-financially.mp4,bankrupt  bankruptcy  BROKE-financially
102,../Data\Words/downloaded_videos\BASEBALL\BASEBALL.mp4,BASEBALL
103,"../Data\Words/downloaded_videos\BASEBALL YOU LIKE WATCH\BASEBALL, YOU LIKE WATCH？.mp4",BASEBALL YOU LIKE WATCH
104,../Data\Words/downloaded_videos\BASEMENT\BASEMENT.mp4,BASEMENT
105,../Data\Words/downloaded_videos\BASKET-version\BASKET-[version].mp4,BASKET-version
106,../Data\Words/downloaded_videos\BASKETBALL\BASKETBALL.mp4,BASKETBALL
107,../Data\Words/downloaded_videos\BASKETBALL 5 handshape version\BASKETBALL [＂5＂ handshape version].mp4,BASKETBALL 5 handshape version
108,"../Data\Words/downloaded_videos\BASKETBALL YOU LIKE PLAY\BASKETBALL, YOU LIKE PLAY？.mp4",BASKETBALL YOU LIKE PLAY
109,../Data\Words/downloaded_videos\BATH\BATH.mp4,BATH
110,"../Data\Words/downloaded_videos\BATH SHOWER YOU PREFER WHICH\BATH, SHOWER, YOU PREFER WHICH？.mp4",BATH SHOWER YOU PREFER WHICH
111,../Data\Words/downloaded_videos\BATHROOM  toilet  restroom\BATHROOM ⧸ toilet ⧸ restroom.mp4,BATHROOM  toilet  restroom
112,../Data\Words/downloaded_videos\BATHTUB\BATHTUB.mp4,BATHTUB
113,"../Data\Words/downloaded_videos\BATTERY ELECTRIC\BATTERY, ELECTRIC.mp4",BATTERY ELECTRIC
114,../Data\Words/downloaded_videos\BEANIE-hat\BEANIE-hat.mp4,BEANIE-hat
115,../Data\Words/downloaded_videos\BEARD\BEARD.mp4,BEARD
116,../Data\Words/downloaded_videos\BEAUTIFUL-pretty\BEAUTIFUL-[pretty].mp4,BEAUTIFUL-pretty
117,../Data\Words/downloaded_videos\BEAUTIFUL-pretty-sideways-view\BEAUTIFUL-[pretty]-[sideways-view].mp4,BEAUTIFUL-pretty-sideways-view
118,../Data\Words/downloaded_videos\become version\become version.mp4,become version
119,../Data\Words/downloaded_videos\BED\BED.mp4,BED
120,../Data\Words/downloaded_videos\BEDROOM\BEDROOM.mp4,BEDROOM
121,../Data\Words/downloaded_videos\BEER\BEER.mp4,BEER
122,../Data\Words/downloaded_videos\BEER-single-movement-version\BEER-[single-movement-version].mp4,BEER-single-movement-version
123,../Data\Words/downloaded_videos\BEFORE-previous-version\BEFORE-[previous-version].mp4,BEFORE-previous-version
124,"../Data\Words/downloaded_videos\BEFORE-prior to CLASS YOU WHERE\BEFORE-(prior to) CLASS, YOU WHERE？.mp4",BEFORE-prior to CLASS YOU WHERE
125,../Data\Words/downloaded_videos\BEFORE-prior-to CLASS YOU WHERE\BEFORE-[prior-to] CLASS YOU WHERE？.mp4,BEFORE-prior-to CLASS YOU WHERE
126,../Data\Words/downloaded_videos\BEFORE-prior-to MEET NEW PERSON YOU LIKE BRUSH-TEETH\BEFORE-[prior-to] MEET NEW PERSON YOU LIKE BRUSH-TEETH？.mp4,BEFORE-prior-to MEET NEW PERSON YOU LIKE BRUSH-TEETH
127,"../Data\Words/downloaded_videos\BEFORE-prior-to REGISTER CLASS YOU MEET COUNSEL-AGENT\BEFORE-[prior-to] REGISTER CLASS, YOU MEET COUNSEL-AGENT？.mp4",BEFORE-prior-to REGISTER CLASS YOU MEET COUNSEL-AGENT
128,../Data\Words/downloaded_videos\BEFORE-prior-to TEST YOU FEEL NERVOUS YOU\BEFORE-[prior-to] TEST YOU FEEL NERVOUS YOU？.mp4,BEFORE-prior-to TEST YOU FEEL NERVOUS YOU
129,../Data\Words/downloaded_videos\BEFORE-prior-to TEST YOU FEEL NERVOUS YOU-version\BEFORE-[prior-to] TEST YOU FEEL NERVOUS YOU？-[version].mp4,BEFORE-prior-to TEST YOU FEEL NERVOUS YOU-version
130,"../Data\Words/downloaded_videos\BEFORE-prior-to TEST YOU STUDY ALL-NIGHT\BEFORE-[prior-to] TEST, YOU STUDY ALL-NIGHT？.mp4",BEFORE-prior-to TEST YOU STUDY ALL-NIGHT
131,../Data\Words/downloaded_videos\BEFORE-prior-to TEST YOU WORRY\BEFORE-[prior-to] TEST YOU WORRY？.mp4,BEFORE-prior-to TEST YOU WORRY
132,"../Data\Words/downloaded_videos\BEFORE-prior_to OLD-16 YOU KISS SOMEONE\BEFORE-[prior_to] OLD-16, YOU KISS SOMEONE？.mp4",BEFORE-prior_to OLD-16 YOU KISS SOMEONE
133,../Data\Words/downloaded_videos\BELIEVE\BELIEVE.mp4,BELIEVE
134,../Data\Words/downloaded_videos\BELOWLESS-THAN\BELOW⧸LESS-THAN.mp4,BELOWLESS-THAN
135,../Data\Words/downloaded_videos\BELT\BELT.mp4,BELT
136,../Data\Words/downloaded_videos\belt-tie-onpockets\belt-tie-on⧸pockets.mp4,belt-tie-onpockets
137,../Data\Words/downloaded_videos\best\best.mp4,best
138,../Data\Words/downloaded_videos\BETTER\BETTER.mp4,BETTER
139,../Data\Words/downloaded_videos\BICYCLE FREEWAY ALRIGHT\BICYCLE FREEWAY ALRIGHT？.mp4,BICYCLE FREEWAY ALRIGHT
140,"../Data\Words/downloaded_videos\BICYCLE HAVE YOU\BICYCLE, HAVE YOU？.mp4",BICYCLE HAVE YOU
141,../Data\Words/downloaded_videos\BIKE  BICYCLE\BIKE ⧸ BICYCLE.mp4,BIKE  BICYCLE
142,../Data\Words/downloaded_videos\BIRD\BIRD.mp4,BIRD
143,../Data\Words/downloaded_videos\BIRD LIKE EAT FISH\BIRD LIKE EAT FISH？.mp4,BIRD LIKE EAT FISH
144,../Data\Words/downloaded_videos\BIRTHDAY\BIRTHDAY.mp4,BIRTHDAY
145,../Data\Words/downloaded_videos\BIRTHDAY birth day version\BIRTHDAY (birth day version).mp4,BIRTHDAY birth day version
146,../Data\Words/downloaded_videos\BIRTHDAY version\BIRTHDAY (version).mp4,BIRTHDAY version
147,../Data\Words/downloaded_videos\BIRTHDAY-heart on chest-ARRIVE version\BIRTHDAY-[heart on chest-ARRIVE version).mp4,BIRTHDAY-heart on chest-ARRIVE version
148,../Data\Words/downloaded_videos\black\black.mp4,black
149,../Data\Words/downloaded_videos\BLACK-twist-version\BLACK-[twist-version].mp4,BLACK-twist-version
150,../Data\Words/downloaded_videos\BLAME\BLAME.mp4,BLAME
151,../Data\Words/downloaded_videos\BLANKET\BLANKET.mp4,BLANKET
152,../Data\Words/downloaded_videos\BLONDE-version\BLONDE-[version].mp4,BLONDE-version
153,../Data\Words/downloaded_videos\BLUE\BLUE.mp4,BLUE
154,"../Data\Words/downloaded_videos\BOAT BEFORE YOU\BOAT, BEFORE YOU？.mp4",BOAT BEFORE YOU
155,../Data\Words/downloaded_videos\BOB SIT WHERE\BOB SIT WHERE？.mp4,BOB SIT WHERE
156,../Data\Words/downloaded_videos\BODY\BODY.mp4,BODY
157,"../Data\Words/downloaded_videos\bologna-HOTDOG SANDWICH YOU LIKE\bologna-[HOTDOG] SANDWICH, YOU LIKE？.mp4",bologna-HOTDOG SANDWICH YOU LIKE
158,../Data\Words/downloaded_videos\book\book.mp4,book
159,../Data\Words/downloaded_videos\BOOK STORE\BOOK STORE.mp4,BOOK STORE
160,"../Data\Words/downloaded_videos\BOOK YOU LIKE READ WHAT-KIND\BOOK YOU LIKE READ, WHAT-KIND？.mp4",BOOK YOU LIKE READ WHAT-KIND
161,"../Data\Words/downloaded_videos\BOOK YOU THINK INTERESTING what-NAME\BOOK YOU THINK INTERESTING, what-NAME？.mp4",BOOK YOU THINK INTERESTING what-NAME
162,../Data\Words/downloaded_videos\BOOK YOU THINK WONDERFUL what-NAME\BOOK YOU THINK WONDERFUL what-NAME？.mp4,BOOK YOU THINK WONDERFUL what-NAME
163,../Data\Words/downloaded_videos\bored\bored.mp4,bored
164,../Data\Words/downloaded_videos\BORING-single-roll-version\BORING-[single-roll-version].mp4,BORING-single-roll-version
165,../Data\Words/downloaded_videos\BORROW loan\BORROW [loan].mp4,BORROW loan
166,"../Data\Words/downloaded_videos\BOSS FIRE WORKER WHY\BOSS FIRE WORKER, WHY？.mp4",BOSS FIRE WORKER WHY
167,../Data\Words/downloaded_videos\BOSS-captaincapitolcoachchiefperson-in-chargeacademic-chair\BOSS-[captain⧸capitol⧸coach⧸chief⧸person-in-charge⧸academic-chair].mp4,BOSS-captaincapitolcoachchiefperson-in-chargeacademic-chair
168,../Data\Words/downloaded_videos\BOSShead authority\BOSS⧸head authority.mp4,BOSShead authority
169,../Data\Words/downloaded_videos\BOTH version 01\BOTH [version 01].mp4,BOTH version 01
170,../Data\Words/downloaded_videos\BOTH version 02\BOTH [version 02].mp4,BOTH version 02
171,../Data\Words/downloaded_videos\BOTH version 03\BOTH [version 03].mp4,BOTH version 03
172,../Data\Words/downloaded_videos\BOTTOM\BOTTOM.mp4,BOTTOM
173,../Data\Words/downloaded_videos\BOWL  basket  tub  basin  sink depictive  classifier version\BOWL ⧸ basket ⧸ tub ⧸ basin ⧸ sink (depictive ⧸ classifier version).mp4,BOWL  basket  tub  basin  sink depictive  classifier version
174,../Data\Words/downloaded_videos\BOWL-bowling-version\BOWL-[bowling-version].mp4,BOWL-bowling-version
175,"../Data\Words/downloaded_videos\BOWLING YOU SKILL\BOWLING, YOU SKILL？.mp4",BOWLING YOU SKILL
176,../Data\Words/downloaded_videos\BOWLing- 3 claw overhand version\BOWLing-[ 3 claw overhand version].mp4,BOWLing- 3 claw overhand version
177,../Data\Words/downloaded_videos\BOWLing- 3 claw underhand version\BOWLing-[ 3 claw underhand version].mp4,BOWLing- 3 claw underhand version
178,../Data\Words/downloaded_videos\BOWLINGBOWL version 1\BOWLING⧸BOWL (version 1).mp4,BOWLINGBOWL version 1
179,../Data\Words/downloaded_videos\BOWLINGBOWL version 2\BOWLING⧸BOWL (version 2).mp4,BOWLINGBOWL version 2
180,../Data\Words/downloaded_videos\BOX BRING CAR DONT-MIND\BOX BRING CAR DON'T-MIND？.mp4,BOX BRING CAR DONT-MIND
181,"../Data\Words/downloaded_videos\BOY SHORT little boy short male\BOY SHORT [little boy, short male].mp4",BOY SHORT little boy short male
182,../Data\Words/downloaded_videos\BOYFRIEND\BOYFRIEND.mp4,BOYFRIEND
183,../Data\Words/downloaded_videos\BREAD\BREAD.mp4,BREAD
184,"../Data\Words/downloaded_videos\BREAD NEW YOU LIKE SMELL\BREAD, NEW, YOU LIKE SMELL？.mp4",BREAD NEW YOU LIKE SMELL
185,../Data\Words/downloaded_videos\BREAD WITH BUTTER YOU LIKE\BREAD WITH BUTTER YOU LIKE？.mp4,BREAD WITH BUTTER YOU LIKE
186,"../Data\Words/downloaded_videos\BREAK-DOWN -collapse fall down fall apart\BREAK-DOWN -[collapse, fall down, fall apart].mp4",BREAK-DOWN -collapse fall down fall apart
187,../Data\Words/downloaded_videos\BREEZE-wind\BREEZE-[wind].mp4,BREEZE-wind
188,../Data\Words/downloaded_videos\BRIDGE\BRIDGE.mp4,BRIDGE
189,../Data\Words/downloaded_videos\BRIEF-short-duration\BRIEF-[short-duration].mp4,BRIEF-short-duration
190,../Data\Words/downloaded_videos\BRIGHT-clearlyclearobvious\BRIGHT-[clearly⧸clear⧸obvious].mp4,BRIGHT-clearlyclearobvious
191,../Data\Words/downloaded_videos\BRING\BRING.mp4,BRING
192,"../Data\Words/downloaded_videos\BRING-to-there carry provide supply take it there\BRING-to-there： carry, provide, supply, ＂take it there＂.mp4",BRING-to-there carry provide supply take it there
193,../Data\Words/downloaded_videos\BROKE-financially no money  bankrupt  busted-financially  destitute\BROKE-[financially] no money ⧸ bankrupt ⧸ busted-[financially] ⧸ destitute.mp4,BROKE-financially no money  bankrupt  busted-financially  destitute
194,../Data\Words/downloaded_videos\BROKE-financially2h-version\BROKE-[financially⧸2h-version].mp4,BROKE-financially2h-version
195,../Data\Words/downloaded_videos\BROTHER\BROTHER.mp4,BROTHER
196,../Data\Words/downloaded_videos\BROTHER YOU how-MANY\BROTHER YOU how-MANY？.mp4,BROTHER YOU how-MANY
197,../Data\Words/downloaded_videos\BROTHER-IN-LAW\BROTHER-IN-LAW.mp4,BROTHER-IN-LAW
198,../Data\Words/downloaded_videos\BROTHER-IN-LAW YOU HAVE HOW-MANY\BROTHER-IN-LAW YOU HAVE HOW-MANY？.mp4,BROTHER-IN-LAW YOU HAVE HOW-MANY
199,../Data\Words/downloaded_videos\brown\brown.mp4,brown
200,../Data\Words/downloaded_videos\BRUSH-TEETH\BRUSH-TEETH.mp4,BRUSH-TEETH
201,"../Data\Words/downloaded_videos\BUG insect ANTcontext critter\BUG, insect, ANT+(context), critter.mp4",BUG insect ANTcontext critter
202,../Data\Words/downloaded_videos\build building\build building.mp4,build building
203,"../Data\Words/downloaded_videos\BUILD THING YOU SKILL YOU\BUILD THING, YOU SKILL YOU？.mp4",BUILD THING YOU SKILL YOU
204,"../Data\Words/downloaded_videos\BUS YOU RIDE-IN SCHOOL YOU\BUS, YOU RIDE-IN SCHOOL, YOU？.mp4",BUS YOU RIDE-IN SCHOOL YOU
205,../Data\Words/downloaded_videos\bus-fingerspelled\bus-[fingerspelled].mp4,bus-fingerspelled
206,../Data\Words/downloaded_videos\BUS-V-hand-version\BUS-[V-hand-version].mp4,BUS-V-hand-version
207,../Data\Words/downloaded_videos\busbent v hand version\bus⧸bent v hand version.mp4,busbent v hand version
208,../Data\Words/downloaded_videos\BUSINESS\BUSINESS.mp4,BUSINESS
209,../Data\Words/downloaded_videos\BUSINESS-initialized-work-version\BUSINESS-[initialized-work-version].mp4,BUSINESS-initialized-work-version
210,../Data\Words/downloaded_videos\BUSY business\BUSY [business].mp4,BUSY business
211,../Data\Words/downloaded_videos\BUSY lexicalized fingerspelling  BUSY  fs-BUSY  B-U-S-Y\BUSY [lexicalized fingerspelling ⧸ #BUSY ⧸ fs-BUSY ⧸ B-U-S-Y ].mp4,BUSY lexicalized fingerspelling  BUSY  fs-BUSY  B-U-S-Y
212,"../Data\Words/downloaded_videos\but different version\but, different (version).mp4",but different version
213,../Data\Words/downloaded_videos\BUTTER\BUTTER.mp4,BUTTER
214,../Data\Words/downloaded_videos\BUTTON SEW KNOW HOW YOU\BUTTON SEW KNOW HOW YOU？.mp4,BUTTON SEW KNOW HOW YOU
215,../Data\Words/downloaded_videos\BUTTON-DOWN-SHIRT\BUTTON-DOWN-SHIRT.mp4,BUTTON-DOWN-SHIRT
216,../Data\Words/downloaded_videos\BUY\BUY.mp4,BUY
217,"../Data\Words/downloaded_videos\BUY WINE YOU MUST how-OLD\BUY WINE, YOU MUST how-OLD？.mp4",BUY WINE YOU MUST how-OLD
218,../Data\Words/downloaded_videos\BUZZ-CUT BEFORE YOU\BUZZ-CUT BEFORE YOU？.mp4,BUZZ-CUT BEFORE YOU
219,../Data\Words/downloaded_videos\BY-A-HAIR-close\BY-A-HAIR-[close!].mp4,BY-A-HAIR-close
220,"../Data\Words/downloaded_videos\C-H-E-S-S SUPPOSE WE-TWO PLAY YOU THINK WIN WHO\C-H-E-S-S, SUPPOSE WE-TWO PLAY, YOU THINK WIN WHO？.mp4",C-H-E-S-S SUPPOSE WE-TWO PLAY YOU THINK WIN WHO
221,../Data\Words/downloaded_videos\CAFETERIA\CAFETERIA.mp4,CAFETERIA
222,../Data\Words/downloaded_videos\CAFETERIA WHERE\CAFETERIA WHERE？.mp4,CAFETERIA WHERE
223,../Data\Words/downloaded_videos\CAKE YOU EAT FROM-TIME-TO-TIME\CAKE YOU EAT FROM-TIME-TO-TIME？.mp4,CAKE YOU EAT FROM-TIME-TO-TIME
224,"../Data\Words/downloaded_videos\CAKE YOU LIKE WHAT-KIND\CAKE, YOU LIKE WHAT-KIND？.mp4",CAKE YOU LIKE WHAT-KIND
225,../Data\Words/downloaded_videos\CAKE-fingerspelled-version\CAKE-[fingerspelled-version].mp4,CAKE-fingerspelled-version
226,../Data\Words/downloaded_videos\CAKE-palm-version  cupcake  muffin\CAKE-[palm-version] ⧸ cupcake ⧸ muffin.mp4,CAKE-palm-version  cupcake  muffin
227,../Data\Words/downloaded_videos\CAKE-signed-English  initialized  C-hand  PIE movement\CAKE-[signed-English ⧸ initialized ⧸ C-hand + PIE movement].mp4,CAKE-signed-English  initialized  C-hand  PIE movement
228,../Data\Words/downloaded_videos\CAKE-version 1 - back-of-hand\CAKE-[version 1 - back-of-hand].mp4,CAKE-version 1 - back-of-hand
229,../Data\Words/downloaded_videos\CALCULUS\CALCULUS.mp4,CALCULUS
230,../Data\Words/downloaded_videos\CALL-by-phone  called  CALL-you Hearing version\CALL-by-phone ⧸ called ⧸ CALL-you [Hearing version].mp4,CALL-by-phone  called  CALL-you Hearing version
231,../Data\Words/downloaded_videos\CALL-to via TTY\CALL-to [via TTY].mp4,CALL-to via TTY
232,../Data\Words/downloaded_videos\camera\camera.mp4,camera
233,../Data\Words/downloaded_videos\CAMPING\CAMPING.mp4,CAMPING
234,../Data\Words/downloaded_videos\CAN\CAN.mp4,CAN
235,../Data\Words/downloaded_videos\CAN COMPUTER FEEL EMOTION\CAN COMPUTER FEEL EMOTION？.mp4,CAN COMPUTER FEEL EMOTION
236,../Data\Words/downloaded_videos\CAN DEAF GO COLLEGE FREE\CAN DEAF GO COLLEGE FREE？.mp4,CAN DEAF GO COLLEGE FREE
237,../Data\Words/downloaded_videos\CAN KEEP A SECRET YOU-version\CAN KEEP A SECRET YOU？-[version].mp4,CAN KEEP A SECRET YOU-version
